year,state,loss
1971,KY,50
1950,AR,50
1972,AZ,50
1967,KS,50
1985,LA,50
1976,MI,50
1954,NM,50
1970,OK,50
1958,OK,50
1952,SC,50
1955,WY,50
1960,CO,50
1982,CO,50
1982,CO,50
1973,CT,50
1956,FL,50
1958,FL,50
1959,FL,50
1976,GA,50
1967,IA,50
1955,IL,50
1960,KS,50
1960,KS,50
1973,KS,50
1963,KS,50
1968,KY,50
1976,MI,50
1954,MO,50
1960,ND,50
1957,NE,50
1978,NM,50
1964,OK,50
1976,OK,50
1956,OK,50
1953,OK,50
1961,OK,50
1951,OK,50
1964,OK,50
1983,OK,50
1963,OK,50
1963,OK,50
1964,OK,50
1967,OK,50
1958,OK,50
1957,OK,50
1973,OK,50
1957,OK,50
1957,SD,50
1983,TX,50
1959,TX,50
1957,TX,50
1955,TX,50
1964,TX,50
1957,TX,50
1964,TX,50
1950,WY,50
1957,AL,50
1983,AL,50
1982,AL,50
1969,AL,50
1985,AL,50
1958,AR,50
1952,AR,50
1973,AR,50
1982,AR,50
1973,AR,50
1972,AZ,50
1957,CA,50
1965,CA,50
1983,CO,50
1983,CO,50
1960,CO,50
1983,CO,50
1953,CO,50
1983,CO,50
1957,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1983,CO,50
1983,CO,50
1965,CO,50
1965,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1983,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1983,CO,50
1982,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1983,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1983,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1982,CO,50
1958,CT,50
1964,FL,50
1958,FL,50
1958,FL,50
1960,FL,50
1967,FL,50
1958,FL,50
1972,FL,50
1972,FL,50
1972,FL,50
1953,FL,50
1957,FL,50
1953,FL,50
1968,FL,50
1960,FL,50
1965,FL,50
1971,FL,50
1957,FL,50
1982,FL,50
1971,FL,50
1971,FL,50
1956,GA,50
1969,GA,50
1956,GA,50
1983,GA,50
1983,GA,50
1968,IA,50
1963,IA,50
1950,IA,50
1966,IA,50
1970,IA,50
1971,IA,50
1965,IA,50
1976,IA,50
1957,IA,50
1956,ID,50
1956,ID,50
1956,ID,50
1956,ID,50
1957,ID,50
1955,ID,50
1983,ID,50
1973,IL,50
1974,IL,50
1971,IL,50
1953,IN,50
1960,IN,50
1990,IN,50
1973,IN,50
1961,KS,50
1981,KS,50
1981,KS,50
1960,KS,50
1979,KS,50
1979,KS,50
1991,KS,50
1960,KS,50
1960,KS,50
1957,KS,50
1960,KS,50
1960,KS,50
1975,KS,50
1958,KY,50
1983,LA,50
1982,LA,50
1975,LA,50
1983,LA,50
1982,LA,50
1982,LA,50
1988,MI,50
1958,MI,50
1958,MI,50
1984,MI,50
1984,MI,50
1958,MN,50
1958,MN,50
1960,MN,50
1981,MN,50
1957,MN,50
1957,MN,50
1964,MN,50
1955,MO,50
1981,MO,50
1981,MO,50
1955,MO,50
1967,MO,50
1983,MO,50
1955,MO,50
1955,MO,50
1982,MO,50
1954,MO,50
1982,MO,50
1982,MO,50
1957,MO,50
1955,MO,50
1965,MO,50
1982,MO,50
1967,MS,50
1974,MS,50
1978,ND,50
1983,ND,50
1958,NE,50
1986,NE,50
1957,NE,50
1984,NE,50
1988,NE,50
1987,NE,50
1987,NE,50
1957,NE,50
1957,NE,50
1957,NE,50
1958,NE,50
1992,NE,50
1986,NE,50
1959,NE,50
1982,NE,50
1982,NE,50
1957,NE,50
1957,NE,50
1986,NE,50
1986,NE,50
1976,NE,50
1971,NM,50
1961,NM,50
1964,NM,50
1961,NM,50
1965,NM,50
1982,NM,50
1960,NY,50
1977,OK,50
1984,OK,50
1977,OK,50
1958,OK,50
1956,OK,50
1954,OK,50
1983,OK,50
1954,OK,50
1954,OK,50
1952,OK,50
1983,OK,50
1961,OK,50
1981,OK,50
1981,OK,50
1963,OK,50
1981,OK,50
1963,OK,50
1963,OK,50
1953,OK,50
1981,OK,50
1981,OK,50
1981,OK,50
1964,OK,50
1962,OK,50
1983,OK,50
1983,OK,50
1983,OK,50
1960,OK,50
1983,OK,50
1958,OK,50
1957,OK,50
1957,OK,50
1974,OK,50
1957,OK,50
1958,OK,50
1958,OK,50
1955,OK,50
1973,OK,50
1958,OK,50
1982,OK,50
1982,OK,50
1973,OK,50
1983,OK,50
1951,OR,50
1954,PA,50
1974,PA,50
1973,PA,50
1983,SC,50
1983,SC,50
1963,SC,50
1975,SC,50
1971,SC,50
1968,SC,50
1964,SC,50
1954,SD,50
1966,SD,50
1982,SD,50
1957,SD,50
1960,SD,50
1983,SD,50
1983,SD,50
1992,SD,50
1991,SD,50
1984,TN,50
1978,TX,50
1978,TX,50
1980,TX,50
1964,TX,50
1957,TX,50
1981,TX,50
1981,TX,50
1958,TX,50
1958,TX,50
1977,TX,50
1977,TX,50
1952,TX,50
1977,TX,50
1968,TX,50
1958,TX,50
1980,TX,50
1982,TX,50
1977,TX,50
1982,TX,50
1979,TX,50
1977,TX,50
1957,TX,50
1982,TX,50
1982,TX,50
1982,TX,50
1958,TX,50
1959,TX,50
1982,TX,50
1977,TX,50
1977,TX,50
1983,TX,50
1983,TX,50
1983,TX,50
1983,TX,50
1977,TX,50
1980,TX,50
1977,TX,50
1977,TX,50
1958,TX,50
1977,TX,50
1977,TX,50
1956,TX,50
1976,TX,50
1982,TX,50
1982,TX,50
1957,TX,50
1977,TX,50
1977,TX,50
1979,TX,50
1980,TX,50
1980,TX,50
1983,TX,50
1983,TX,50
1982,TX,50
1977,TX,50
1982,TX,50
1983,TX,50
1977,TX,50
1977,TX,50
1977,TX,50
1982,TX,50
1977,TX,50
1983,TX,50
1977,TX,50
1980,TX,50
1982,TX,50
1982,TX,50
1958,TX,50
1982,TX,50
1981,TX,50
1974,TX,50
1977,TX,50
1983,TX,50
1955,TX,50
1983,TX,50
1961,TX,50
1961,TX,50
1977,TX,50
1961,TX,50
1954,TX,50
1983,TX,50
1974,TX,50
1983,TX,50
1982,TX,50
1958,TX,50
1983,TX,50
1983,TX,50
1990,TX,50
1958,TX,50
1974,TX,50
1969,TX,50
1983,TX,50
1975,TX,50
1975,TX,50
1983,TX,50
1981,TX,50
1977,TX,50
1982,TX,50
1967,TX,50
1983,TX,50
1983,TX,50
1974,TX,50
1991,TX,50
1981,UT,50
1986,UT,50
1968,VA,50
1958,WI,50
1983,WI,50
1952,WY,50
1950,WY,50
1950,WY,50
1958,WY,50
1958,WY,50
1975,WY,50
1958,WY,50
1958,WY,50
1958,WY,50
1962,WY,50
1977,WY,50
1958,WY,50
1958,WY,50
1957,WY,50
1983,WY,50
1977,WY,50
1977,WY,50
1977,WY,50
1977,WY,50
1977,WY,50
1977,WY,50
1977,WY,50
1977,WY,50
1983,WY,50
1957,WY,50
1975,WY,50
1974,WY,50
1974,WY,50
1974,WY,50
1985,AL,50
1975,AL,50
1987,AL,50
1985,AL,50
1985,AL,50
1981,AL,50
1972,AR,50
1985,AR,50
1982,AR,50
1982,AR,50
1983,AR,50
1973,AR,50
1958,AR,50
1982,AR,50
1982,AR,50
1982,AR,50
1982,AR,50
1958,AZ,50
1958,AZ,50
1972,AZ,50
1972,AZ,50
1972,AZ,50
1972,AZ,50
1957,AZ,50
1957,AZ,50
1982,AZ,50
1978,CA,50
1979,CA,50
1986,CA,50
1978,CA,50
1978,CA,50
1983,CA,50
1984,CA,50
1965,CA,50
1982,CA,50
1974,CA,50
1951,CO,50
1951,CO,50
1958,CO,50
1958,CO,50
1983,CO,50
1962,CO,50
1962,CO,50
1962,CO,50
1962,CO,50
1953,CO,50
1953,CO,50
1979,CO,50
1967,CO,50
1958,CO,50
1958,CO,50
1958,CO,50
1958,CO,50
1955,CO,50
1955,CO,50
1956,CO,50
1957,CO,50
1957,CO,50
1958,CO,50
1983,CO,50
1982,CO,50
1982,CO,50
1957,CO,50
1982,CO,50
1959,CT,50
1983,CT,50
1958,FL,50
1973,FL,50
1957,FL,50
1960,FL,50
1983,FL,50
1983,FL,50
1954,FL,50
1972,FL,50
1972,FL,50
1972,FL,50
1972,FL,50
1960,FL,50
1969,FL,50
1953,FL,50
1968,FL,50
1979,FL,50
1979,FL,50
1990,FL,50
1958,FL,50
1958,FL,50
1987,FL,50
1953,FL,50
1979,FL,50
1953,FL,50
1953,FL,50
1976,FL,50
1972,FL,50
1959,FL,50
1970,FL,50
1954,FL,50
1970,FL,50
1970,FL,50
1970,FL,50
1958,FL,50
1968,FL,50
1972,FL,50
1968,FL,50
1959,FL,50
1959,FL,50
1960,FL,50
1960,FL,50
1955,FL,50
1954,FL,50
1957,FL,50
1965,FL,50
1969,FL,50
1969,FL,50
1971,FL,50
1959,FL,50
1962,FL,50
1986,FL,50
1957,FL,50
1983,FL,50
1971,FL,50
1957,FL,50
1983,FL,50
1972,FL,50
1983,FL,50
1978,FL,50
1984,FL,50
1957,FL,50
1990,FL,50
1982,FL,50
1982,FL,50
1990,FL,50
1990,FL,50
1992,FL,50
1956,GA,50
1956,GA,50
1956,GA,50
1956,GA,50
1957,GA,50
1958,GA,50
1983,GA,50
1983,GA,50
1955,HI,50
1958,IA,50
1958,IA,50
1989,IA,50
1966,IA,50
1982,IA,50
1982,IA,50
1982,IA,50
1987,IA,50
1982,IA,50
1982,IA,50
1957,IA,50
1982,IA,50
1972,IA,50
1983,IA,50
1966,IA,50
1982,IA,50
1990,IA,50
1975,IA,50
1983,IA,50
1982,IA,50
1982,IA,50
1994,IA,50
1994,IA,50
1982,IA,50
1993,IA,50
1993,IA,50
1954,ID,50
1979,ID,50
1954,ID,50
1954,ID,50
1956,ID,50
1984,IL,50
1989,IL,50
1980,IL,50
1973,IL,50
1969,IL,50
1957,IL,50
1958,IL,50
1984,IL,50
1984,IL,50
1984,IL,50
1984,IL,50
1984,IL,50
1984,IL,50
1959,IL,50
1982,IL,50
1970,IL,50
1982,IL,50
1982,IL,50
1983,IL,50
1982,IL,50
1982,IL,50
1974,IL,50
1982,IL,50
1969,IN,50
1963,IN,50
1957,IN,50
1961,IN,50
1965,IN,50
1987,IN,50
1973,IN,50
1981,IN,50
1984,KS,50
1984,KS,50
1958,KS,50
1960,KS,50
1958,KS,50
1981,KS,50
1984,KS,50
1984,KS,50
1961,KS,50
1951,KS,50
1960,KS,50
1957,KS,50
1957,KS,50
1951,KS,50
1957,KS,50
1970,KS,50
1984,KS,50
1984,KS,50
1984,KS,50
1962,KS,50
1973,KS,50
1960,KS,50
1991,KS,50
1977,KS,50
1978,KS,50
1957,KS,50
1957,KS,50
1974,KS,50
1974,KS,50
1978,KS,50
1957,KS,50
1960,KS,50
1983,KS,50
1957,KS,50
1960,KS,50
1960,KS,50
1960,KS,50
1960,KS,50
1960,KS,50
1982,KS,50
1982,KS,50
1982,KS,50
1982,KS,50
1982,KS,50
1983,KS,50
1983,KS,50
1982,KS,50
1982,KS,50
1978,KS,50
1978,KS,50
1983,KS,50
1978,KS,50
1983,KS,50
1983,KS,50
1983,KS,50
1978,KS,50
1961,KS,50
1983,KS,50
1983,KS,50
1983,KS,50
1960,KS,50
1984,KS,50
1984,KS,50
1984,KS,50
1984,KS,50
1983,KS,50
1975,KS,50
1984,KS,50
1984,KS,50
1982,KS,50
1982,KS,50
1957,KS,50
1977,KS,50
1977,KS,50
1982,KS,50
1983,KS,50
1979,KS,50
1993,KS,50
1982,KS,50
1982,KS,50
1982,KS,50
1982,KS,50
1975,KS,50
1973,KS,50
1994,KY,50
1994,KY,50
1994,KY,50
1956,KY,50
1987,KY,50
1983,KY,50
1962,LA,50
1974,LA,50
1954,LA,50
1954,LA,50
1982,LA,50
1983,LA,50
1955,LA,50
1982,LA,50
1981,LA,50
1983,LA,50
1981,LA,50
1982,LA,50
1983,LA,50
1982,LA,50
1983,LA,50
1982,LA,50
1960,MA,50
1965,MA,50
1983,MA,50
1990,MA,50
1978,MI,50
1978,MI,50
1982,MI,50
1958,MI,50
1987,MI,50
1973,MI,50
1979,MI,50
1957,MI,50
1973,MI,50
1983,MI,50
1973,MI,50
1973,MI,50
1977,MI,50
1958,MN,50
1958,MN,50
1989,MN,50
1978,MN,50
1972,MN,50
1966,MN,50
1979,MN,50
1983,MN,50
1981,MN,50
1981,MN,50
1981,MN,50
1981,MN,50
1981,MN,50
1983,MN,50
1981,MN,50
1983,MN,50
1981,MN,50
1994,MN,50
1957,MN,50
1957,MN,50
1980,MN,50
1980,MN,50
1967,MO,50
1969,MO,50
1965,MO,50
1984,MO,50
1969,MO,50
1981,MO,50
1981,MO,50
1970,MO,50
1981,MO,50
1973,MO,50
1965,MO,50
1981,MO,50
1966,MO,50
1967,MO,50
1967,MO,50
1966,MO,50
1967,MO,50
1967,MO,50
1967,MO,50
1970,MO,50
1966,MO,50
1983,MO,50
1983,MO,50
1970,MO,50
1958,MO,50
1958,MO,50
1961,MO,50
1994,MO,50
1958,MO,50
1967,MO,50
1957,MO,50
1966,MO,50
1981,MO,50
1969,MO,50
1970,MO,50
1970,MO,50
1962,MO,50
1962,MO,50
1957,MO,50
1968,MO,50
1968,MO,50
1962,MO,50
1956,MO,50
1982,MO,50
1982,MO,50
1982,MO,50
1982,MO,50
1953,MO,50
1969,MO,50
1982,MO,50
1962,MO,50
1962,MO,50
1968,MO,50
1967,MO,50
1961,MO,50
1968,MO,50
1959,MO,50
1955,MO,50
1962,MO,50
1957,MO,50
1967,MO,50
1982,MO,50
1964,MO,50
1959,MO,50
1967,MO,50
1967,MO,50
1967,MO,50
1967,MO,50
1967,MO,50
1965,MO,50
1982,MO,50
1966,MS,50
1957,MS,50
1974,MS,50
1974,MS,50
1957,MS,50
1975,MS,50
1974,MS,50
1958,MT,50
1982,MT,50
1973,MT,50
1959,MT,50
1983,MT,50
1982,NC,50
1979,NC,50
1958,ND,50
1958,ND,50
1982,ND,50
1958,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1957,ND,50
1983,ND,50
1982,ND,50
1983,ND,50
1982,ND,50
1982,ND,50
1982,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1983,ND,50
1982,ND,50
1982,ND,50
1982,ND,50
1982,ND,50
1982,ND,50
1988,NE,50
1990,NE,50
1987,NE,50
1986,NE,50
1987,NE,50
1986,NE,50
1958,NE,50
1986,NE,50
1986,NE,50
1958,NE,50
1987,NE,50
1988,NE,50
1957,NE,50
1990,NE,50
1986,NE,50
1986,NE,50
1986,NE,50
1958,NE,50
1986,NE,50
1958,NE,50
1986,NE,50
1958,NE,50
1982,NE,50
1958,NE,50
1982,NE,50
1982,NE,50
1982,NE,50
1989,NE,50
1990,NE,50
1990,NE,50
1990,NE,50
1990,NE,50
1990,NE,50
1957,NE,50
1990,NE,50
1987,NE,50
1958,NE,50
1958,NE,50
1958,NE,50
1958,NE,50
1958,NE,50
1957,NE,50
1957,NE,50
1989,NE,50
1980,NE,50
1987,NE,50
1990,NE,50
1990,NE,50
1990,NE,50
1986,NE,50
1979,NE,50
1989,NE,50
1982,NE,50
1983,NE,50
1986,NE,50
1958,NE,50
1986,NE,50
1986,NE,50
1983,NE,50
1983,NE,50
1983,NE,50
1994,NE,50
1983,NE,50
1982,NE,50
1986,NE,50
1986,NE,50
1982,NE,50
1981,NE,50
1957,NE,50
1981,NE,50
1957,NE,50
1981,NE,50
1986,NE,50
1982,NE,50
1982,NE,50
1957,NE,50
1979,NE,50
1986,NE,50
1976,NE,50
1976,NE,50
1989,NE,50
1957,NE,50
1982,NE,50
1989,NE,50
1982,NE,50
1982,NE,50
1970,NM,50
1981,NM,50
1958,NM,50
1980,NM,50
1951,NM,50
1969,NM,50
1959,NM,50
1979,NM,50
1957,NM,50
1985,NM,50
1957,NM,50
1957,NM,50
1957,NM,50
1958,NM,50
1958,NM,50
1982,NM,50
1982,NM,50
1982,NM,50
1965,NM,50
1975,NM,50
1975,NM,50
1957,NM,50
1957,NM,50
1983,NV,50
1982,NV,50
1975,NY,50
1982,NY,50
1993,NY,50
1973,OH,50
1973,OH,50
1984,OK,50
1984,OK,50
1984,OK,50
1983,OK,50
1957,OK,50
1957,OK,50
1957,OK,50
1957,OK,50
1958,OK,50
1958,OK,50
1970,OK,50
1958,OK,50
1984,OK,50
1957,OK,50
1984,OK,50
1958,OK,50
1984,OK,50
1984,OK,50
